Time,SN,Operator,Config,VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),LED_Channel,LED_DV,NTC,NTC,State
2024-8-10 8:29,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 9:29,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 9:29,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 9:30,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 9:31,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 9:33,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 9:34,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:32,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:36,'1,x1111111,,0.39,0.0,0.39,0.0,0.38, 0.0,0.38,0.0,0.38, 0.0,0.38, 0.0,0.39,0.0,0.40, 0.0,0.38, 0.0,0.38,0.0,0.39,0.0,0.39,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:37,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:37,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:41,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:42,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:42,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:42,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:43,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:43,'1,x1111111,,0.38,75.6,0.38,75.6,0.37, 75.6,0.37,75.6,0.37, 75.6,0.37, 75.6,0.39,75.6,0.39, 75.6,0.37, 75.6,0.37,75.6,0.38,75.6,0.38,75.6,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:43,'1,x1111111,,0.38,75.6,0.00,75.6,0.00, 75.6,0.00,75.6,0.00, 75.6,0.00, 75.6,0.00,75.6,0.00, 75.6,0.00, 75.6,0.00,75.6,0.00,75.6,0.00,75.6,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:46,'1,x1111111,,0,0,0,0,0, 0,0,0,0, 0,0, 0,0,0,0, 0,0, 0,0,0,0,0,0,0,0,0,-1.91°,-1.91°,正常
2024-8-10 10:46,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:57,'1,x1111111,,0.38,75.7,0.38,75.7,0.37, 75.7,0.37,75.7,0.37, 75.7,0.37, 75.7,0.39,75.7,0.40, 75.7,0.38, 75.7,0.38,75.7,0.39,75.7,0.39,75.7,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:58,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:58,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 10:58,'1,x1111111,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:11,'1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:12,'1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:12,'1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:12,'1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:12,'1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:13,'1,,0.43,85.2,0.43,85.2,0.39, 85.2,0.39,85.2,0.38, 85.2,0.38, 85.2,0.39,85.2,0.39, 85.2,0.37, 85.2,0.37,85.2,0.38,85.2,0.38,85.2,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:14,'1,,0.34,0.0,0.34,0.0,0.32, 0.0,0.32,0.0,0.32, 0.0,0.32, 0.0,0.33,0.0,0.33, 0.0,0.32, 0.0,0.32,0.0,0.33,0.0,0.33,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:20,'1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:21,'1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:22,'1,,0.00,60.4,0.00,60.4,0.00, 60.4,0.00,60.4,0.00, 0.0,0.00, 60.4,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,背光串数异常
2024-8-10 15:23,'1,C123.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:23,'1,C123.ini,27.86,80.5,27.79,80.5,27.85, 80.5,27.83,80.5,28.28, 80.4,27.81, 80.5,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,6,0.00,-1.91°,-1.91°,背光串数异常
2024-8-10 15:25,'1,C123.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:26,'1,C123.ini,27.95,70.0,27.86,70.0,27.93, 70.0,27.91,70.0,28.37, 69.8,27.90, 70.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,6,0.00,-1.91°,-1.91°,电压超限
2024-8-10 15:27,'1,C123.ini,27.95,70.3,27.84,70.3,27.93, 70.3,27.90,70.3,28.36, 70.2,27.90, 70.3,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,6,0.51,-1.91°,-1.91°,电压超限
2024-8-10 15:27,'1,C123.ini,27.95,70.1,27.84,70.1,27.92, 70.1,27.89,70.1,28.36, 70.0,27.89, 70.1,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,6,0.52,-1.91°,-1.91°,电压超限
2024-8-10 15:33,'1,,27.95,70.3,27.84,70.3,27.92, 70.3,27.89,70.3,28.36, 70.2,27.89, 70.3,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,6,0.52,-1.91°,-1.91°,电流超限
2024-8-10 15:33,'1,C142.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,0,0.00,-1.91°,-1.91°,未检测到背光异常
2024-8-10 15:34,'1,C142.ini,27.95,70.3,27.84,70.3,27.92, 70.3,27.89,70.3,28.36, 70.2,27.89, 70.3,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,6,0.52,-1.91°,-1.91°,电压超限
2024-8-10 15:41,'1,C142.ini,27.93,70.3,27.81,70.3,27.91, 70.3,27.87,70.3,28.34, 70.2,27.87, 70.3,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,6,0.52,-1.91°,-1.91°,正常
