Time,SN,Operator,SITE,Config,VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),LED_Channel,LED_DV,NTC,NTC,State
2024-8-2 9:18,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.45,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:20,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.30,1.0,-22.45,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:20,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.30,1.0,-22.45,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:32,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:32,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:41,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.33,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:41,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.33,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:49,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.45,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:49,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.45,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:51,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.34,1.0,-22.49,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 9:51,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.34,1.0,-22.49,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 10:49,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.35,1.0,-22.51,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 10:49,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.35,1.0,-22.51,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 13:06,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 13:06,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 13:07,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.30,1.0,-22.45,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 13:07,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.30,1.0,-22.45,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 13:07,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.34,1.0,-22.50,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-2 13:07,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.34,1.0,-22.50,2.0,0,0.00,21000L,18000L,未检测到背光异常
