Device,Time:,SN:,R:,G:,B:,IR:,ID:,RES:
A-3000,2024/4/29 10:17,'412343214124,12,24,9,4,1,OK
A-3000,2024/4/29 10:17,'4531514324213412,12,24,9,4,1,OK
A-3000,2024/4/29 10:17,'234434345454433224334,11,24,8,4,1,OK
A-3000,2024/4/29 10:18,'453435232534543432,11,24,9,4,1,OK
A-3000,2024/4/29 10:18,'4443232442334,11,24,9,4,1,OK
A-3000,2024/4/29 10:18,'123435432523,11,24,9,4,1,OK
A-3000,2024/4/29 10:18,'43214353425234,11,24,9,4,1,OK
A-3000,2024/4/29 10:18,'43215435345,12,24,8,4,1,OK
A-3000,2024/4/29 10:18,'153241231421,11,24,9,4,1,OK
A-3000,2024/4/29 10:18,'3421432412421,12,24,9,5,1,OK
A-3000,2024/4/29 10:18,'51432142314,12,24,9,5,1,OK
A-3000,2024/4/29 10:18,'53143214234,12,24,9,4,1,OK
A-3000,2024/4/29 10:18,'5134324321423,12,24,9,5,1,OK
A-3000,2024/4/29 10:18,'23452414321,12,24,9,5,1,OK
A-3000,2024/4/29 10:18,'432143214231423143245375,11,24,9,4,1,OK
