时间,SN,工作模式,模式序号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-06-06 15:20:14,9,job模式,job[9]/Pset[8],[2/3],0.0200,118.8,124.8,1.308,拧紧不合格,浮高
2024-06-06 15:20:23,9,job模式,job[9]/Pset[8],[2/3],0.0211,232.9,233.7,2.210,拧紧合格,拧紧合格
2024-06-06 16:09:57,2,job模式,job[9]/Pset[8],[3/3],0.0048,85.0,85.1,0.150,拧紧不合格,系统急停
2024-06-06 16:09:59,2,job模式,job[9]/Pset[8],[3/3],0.0204,370.6,371.5,3.386,拧紧合格,拧紧合格
2024-06-06 16:10:22,2,job模式,job[9]/Pset[8],[1/3],0.0205,147.1,154.5,1.518,拧紧不合格,浮高
2024-06-06 16:10:28,2,job模式,job[9]/Pset[8],[1/3],0.0209,322.9,324.4,3.021,拧紧合格,拧紧合格
2024-06-06 16:10:34,2,job模式,job[9]/Pset[8],[2/3],0.0201,236.3,237.2,2.273,拧紧合格,拧紧合格
2024-06-06 16:10:39,2,job模式,job[9]/Pset[8],[3/3],0.0199,403.3,404.3,3.706,拧紧合格,拧紧合格
2024-06-06 16:11:05,2,job模式,job[9]/Pset[8],[1/9],0.0200,132.8,139.9,1.435,拧紧不合格,浮高
2024-06-06 16:11:09,2,job模式,job[9]/Pset[8],[1/9],0.0199,358.5,359.6,3.362,拧紧合格,拧紧合格
2024-06-06 16:11:14,2,job模式,job[9]/Pset[8],[2/9],0.0206,321.6,322.8,3.030,拧紧合格,拧紧合格
