时间,SN,工作模式,模式序号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-06-13 10:07:54,1,job模式,job[9]/Pset[8],[4/5],0.0200,143.8,144.4,1.199,拧紧合格,拧紧合格
2024-06-13 10:07:55,1,job模式,job[9]/Pset[8],[5/5],0.0060,119.3,119.4,0.175,拧紧不合格,系统急停
2024-06-13 10:08:15,1,job模式,job[9]/Pset[8],[1/5],0.0200,171.7,172.6,1.471,拧紧合格,拧紧合格
2024-06-13 10:08:20,1,job模式,job[9]/Pset[8],[2/5],0.0201,142.0,142.7,1.276,拧紧合格,拧紧合格
2024-06-13 10:08:22,1,job模式,job[9]/Pset[8],[3/5],0.0200,133.9,134.3,1.130,拧紧合格,拧紧合格
2024-06-13 10:08:23,1,job模式,job[9]/Pset[8],[4/5],0.0201,142.3,143.4,1.278,拧紧合格,拧紧合格
2024-06-13 10:08:26,1,job模式,job[9]/Pset[8],[5/5],0.0202,147.3,148.0,1.272,拧紧合格,拧紧合格
2024-06-13 10:09:57,1,job模式,job[9]/Pset[8],[2/5],0.0205,290.0,291.1,2.341,拧紧合格,拧紧合格
2024-06-13 13:36:35,1,job模式,job[9]/Pset[8],[3/5],0.0200,149.9,150.0,1.283,拧紧合格,拧紧合格
2024-06-13 13:36:37,1,job模式,job[9]/Pset[8],[4/5],0.0202,133.5,133.6,1.030,拧紧合格,拧紧合格
2024-06-13 13:36:42,1,job模式,job[9]/Pset[8],[5/5],0.0199,132.5,132.8,1.129,拧紧合格,拧紧合格
2024-06-13 13:40:46,9,job模式,job[9]/Pset[8],[4/5],0.0209,126.3,126.8,1.021,拧紧合格,拧紧合格
2024-06-13 13:40:58,9,job模式,job[9]/Pset[8],[5/5],0.0200,236.1,235.9,1.859,拧紧合格,拧紧合格
2024-06-13 15:45:33,8,job模式,job[9]/Pset[8],[1/5],0.0199,277.6,277.9,1.655,拧紧合格,拧紧合格
2024-06-13 15:45:41,8,job模式,job[9]/Pset[8],[2/5],0.0208,142.8,143.3,1.209,拧紧合格,拧紧合格
2024-06-13 15:45:45,8,job模式,job[9]/Pset[8],[3/5],0.0203,127.9,128.4,1.063,拧紧合格,拧紧合格
2024-06-13 15:45:49,8,job模式,job[9]/Pset[8],[4/5],0.0202,126.6,126.9,1.051,拧紧合格,拧紧合格
2024-06-13 15:46:01,8,job模式,job[9]/Pset[8],[5/5],0.0201,1081.0,1081.6,9.489,拧紧合格,拧紧合格
2024-06-13 15:49:21,1,job模式,job[9]/Pset[8],[1/5],0.0204,180.6,181.1,1.492,拧紧合格,拧紧合格
2024-06-13 15:49:24,1,job模式,job[9]/Pset[8],[2/5],0.0201,140.4,140.5,1.153,拧紧合格,拧紧合格
2024-06-13 15:49:27,1,job模式,job[9]/Pset[8],[3/5],0.0204,198.1,198.7,1.860,拧紧合格,拧紧合格
2024-06-13 15:49:29,1,job模式,job[9]/Pset[8],[4/5],0.0210,176.0,176.3,1.521,拧紧合格,拧紧合格
2024-06-13 15:49:31,1,job模式,job[9]/Pset[8],[5/5],0.0202,143.3,143.6,1.180,拧紧合格,拧紧合格
2024-06-13 16:13:47,1,job模式,job[9]/Pset[8],[1/5],0.0204,198.6,198.8,1.628,拧紧合格,拧紧合格
