时间,操作员ID,SN,工号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-07-03 13:51:39,x1111111,s,x1111111,[1/5],0.0207,159.7,160.5,1.386,拧紧合格,拧紧合格
2024-07-03 13:51:41,x1111111,s,x1111111,[2/5],0.0203,136.7,137.1,1.143,拧紧合格,拧紧合格
2024-07-03 13:51:43,x1111111,s,x1111111,[3/5],0.0202,166.1,167.0,1.365,拧紧合格,拧紧合格
2024-07-03 13:51:45,x1111111,s,x1111111,[4/5],0.0201,175.3,176.3,1.370,拧紧合格,拧紧合格
2024-07-03 13:51:46,x1111111,s,x1111111,[5/5],0.0199,138.8,140.0,1.196,拧紧合格,拧紧合格
2024-07-03 16:37:44,x2222222,dsad,x2222222,[2/5],0.0065,258.4,258.4,1.395,拧紧不合格,系统急停
2024-07-03 16:37:47,x2222222,dsad,x2222222,[1/5],0.0200,327.2,327.8,2.484,拧紧合格,拧紧合格
2024-07-03 16:37:55,x2222222,dsad,x2222222,[2/5],0.0046,72.2,72.1,0.106,拧紧不合格,系统急停
2024-07-03 16:37:56,x2222222,dsad,x2222222,[3/5],0.0035,84.2,84.3,0.114,拧紧不合格,系统急停
2024-07-03 16:37:57,x2222222,dsad,x2222222,[4/5],0.0040,92.8,92.8,0.120,拧紧不合格,系统急停
2024-07-03 16:41:22,x2222222,2,x2222222,[5/5],0.0200,323.1,323.9,3.170,拧紧合格,拧紧合格
2024-07-03 16:41:27,x2222222,2,x2222222,[1/5],0.0073,212.7,212.9,1.030,拧紧不合格,系统急停
2024-07-03 16:41:29,x2222222,2,x2222222,[1/5],0.0055,136.3,136.2,0.411,拧紧不合格,系统急停
2024-07-03 16:41:29,x2222222,2,x2222222,[2/5],0.0076,119.7,119.7,0.186,拧紧不合格,系统急停
2024-07-03 16:41:30,x2222222,2,x2222222,[3/5],0.0050,106.6,106.6,0.130,拧紧不合格,系统急停
2024-07-03 16:41:30,x2222222,2,x2222222,[4/5],0.0045,84.7,84.7,0.115,拧紧不合格,系统急停
2024-07-03 16:41:38,x2222222,2,x2222222,[5/5],0.0067,317.2,317.1,1.930,拧紧不合格,系统急停
2024-07-03 16:41:42,x2222222,2,x2222222,[1/5],0.0206,319.3,320.4,2.631,拧紧合格,拧紧合格
2024-07-03 16:42:49,x2222222,2,x2222222,[2/5],0.0057,179.7,179.7,0.775,拧紧不合格,系统急停
2024-07-03 16:42:51,x2222222,2,x2222222,[3/5],0.0037,93.0,92.9,0.120,拧紧不合格,系统急停
2024-07-03 16:45:36,x2222222,2,x2222222,[4/5],0.0057,122.7,122.6,0.255,拧紧不合格,系统急停
2024-07-03 16:45:55,x2222222,2,x2222222,[5/5],0.0044,78.7,78.6,0.111,拧紧不合格,系统急停
2024-07-03 16:46:00,x2222222,2,x2222222,[1/5],0.0054,137.0,137.0,0.425,拧紧不合格,系统急停
2024-07-03 16:46:01,x2222222,2,x2222222,[2/5],0.0048,119.9,120.0,0.150,拧紧不合格,系统急停
2024-07-03 16:46:02,x2222222,2,x2222222,[3/5],0.0062,124.1,123.9,0.275,拧紧不合格,系统急停
2024-07-03 16:46:04,x2222222,2,x2222222,[4/5],0.0060,119.6,119.5,0.150,拧紧不合格,系统急停
2024-07-03 16:46:06,x2222222,2,x2222222,[5/5],0.0040,103.0,103.0,0.127,拧紧不合格,系统急停
2024-07-03 16:46:12,x2222222,2,x2222222,[1/5],0.0049,119.9,119.8,0.175,拧紧不合格,系统急停
2024-07-03 16:46:13,x2222222,2,x2222222,[2/5],0.0038,46.7,46.7,0.087,拧紧不合格,系统急停
2024-07-03 16:46:13,x2222222,2,x2222222,[3/5],0.0047,102.3,102.2,0.127,拧紧不合格,系统急停
2024-07-03 16:51:37,x3322222,s,x3322222,[4/5],0.0199,222.1,222.7,1.808,拧紧合格,拧紧合格
2024-07-03 16:52:04,x3322222,s,x3322222,[5/5],0.0071,122.3,122.3,0.275,拧紧不合格,系统急停
2024-07-03 16:52:29,x3322222,s,x3322222,[1/5],0.0055,119.7,119.7,0.150,拧紧不合格,系统急停
